gene_symbol	n_variants
IL27RA	3
ILF2	3
INSR	3
IP6K2	3
IQCF2	3
IQCF3	3
IST1	3
ITIH4	3
JAZF1-AS1	3
JRKL	3
KCNK15-AS1	3
KCNK18	3
KCTD2	3
KIAA1191P3	3
KIAA1586	3
KIR2DL4	3
KLF13	3
KLF2-DT	3
KLF3-AS1	3
KLHL24	3
KLHL36	3
KMT5A	3
KREMEN2	3
KRT127P	3
KRT18P3	3
KRT31	3
KTI12	3
KTN1-AS1	3
LASP1NB	3
LCE1D	3
LDHC	3
LETM1	3
LGR6	3
LHFPL2	3
LILRA2	3
LILRA4	3
LIMASI	3
LINC00115	3
LINC00303	3
LINC00351	3
LINC00367	3
LINC00402	3
LINC00457	3
LINC00462	3
LINC00492	3
LINC00499	3
LINC00501	3
LINC00533	3
LINC00540	3
LINC00603	3
LINC00609	3
LINC00623	3
LINC00624	3
LINC00670	3
LINC00698	3
LINC00702	3
LINC00708	3
LINC00824	3
LINC00845	3
LINC00850	3
LINC00861	3
LINC00862	3
LINC00887	3
LINC00944	3
LINC00955	3
LINC00964	3
LINC01013	3
LINC01019	3
LINC01030	3
LINC01079	3
LINC01080	3
LINC01117	3
LINC01194	3
LINC01206	3
LINC01242	3
LINC01250	3
LINC01255	3
LINC01258	3
LINC01266	3
LINC01284	3
LINC01288	3
LINC01340	3
LINC01399	3
LINC01411	3
LINC01429	3
LINC01447	3
LINC01470	3
LINC01562	3
LINC01605	3
LINC01619	3
LINC01620	3
LINC01622	3
LINC01634	3
LINC01682	3
LINC01692	3
LINC01707	3
LINC01708	3
LINC01712	3
LINC01720	3
LINC01732	3
LINC01748	3
LINC01791	3
LINC01798	3
LINC01816	3
LINC01841	3
LINC01846	3
LINC01857	3
LINC01858	3
LINC01876	3
LINC01882	3
LINC01915	3
LINC01926	3
LINC01933	3
LINC01937	3
LINC01946	3
LINC01963	3
LINC01992	3
LINC02008	3
LINC02021	3
LINC02023	3
LINC02073	3
LINC02091	3
LINC02129	3
LINC02141	3
LINC02149	3
LINC02174	3
LINC02222	3
LINC02233	3
LINC02238	3
LINC02248	3
LINC02250	3
LINC02268	3
LINC02271	3
LINC02275	3
LINC02283	3
LINC02304	3
LINC02307	3
LINC02323	3
LINC02331	3
LINC02350	3
LINC02351	3
LINC02363	3
LINC02367	3
LINC02413	3
LINC02414	3
LINC02448	3
LINC02452	3
LINC02453	3
LINC02463	3
LINC02466	3
LINC02476	3
LINC02482	3
LINC02492	3
LINC02540	3
LINC02541	3
LINC02542	3
LINC02551	3
LINC02566	3
LINC02613	3
LINC02642	3
LINC02643	3
LINC02660	3
LINC02671	3
LINC02687	3
LINC02690	3
LINC02712	3
LINC02732	3
LINC02742	3
LINC02745	3
LINC02767	3
LINC02800	3
LINC02826	3
LINC02832	3
LINC02869	3
LINC02880	3
LINC02914	3
LINC02919	3
LINC02942	3
LINC02987	3
LINC02988	3
LINC03017	3
LINC03122	3
LINP1	3
LMF2	3
LNCAROD	3
LRIG3-DT	3
LRRIQ1	3
LTBP4	3
LURAP1L-AS1	3
LYPLA1	3
LZIC	3
MACC1-OT1	3
MAFA-AS1	3
MARCO	3
MCM6	3
MCPH1-AS1	3
MEF2C-AS1	3
MEFV	3
MEOX1	3
MESP1	3
MESTP3	3
MFAP3	3
MFSD13B	3
MIB1	3
MIB2	3
MIP	3
MIR29B2CHG	3
MIR302CHG	3
MIR3150BHG	3
